,Approximate Entropy: m=3 r=0.7,Conduction Delay: set_thresh=False,Energy Ratio by Chunks: num_segments=10 segment_focus=2,Index Mass Quantile: q=0.6,Label 1,Label 2,Location of Maximum Energy: M=14,Maximum Absolute Value,Normalised Standard Deviation,Number of Peaks: set_thresh=False,Number of Peaks: set_thresh=True,Peaks Between Min and Max,Percentage Fractionation: thresh=0.01,Power Spectral Entropy,Power Spectral Entropy Around Maximum Energy,Ratio Beyond 5xSTD,Sample Entropy Around Max Energy: width=60 r=0.025,Spectral Centroid,Spectral Centroid Around Maximum Energy,Standard Deviation
303,-0.028255285814369202,-9,-5.955325413077432e-06,-0.07333333333333333,0,0,-9,14617.0,-0.026729402858451434,-3,0,0,-9.333333333333332,0.24873020702127846,-0.6159942926730242,0.0,-0.03627303644717522,0.7435660223752052,-0.6465531246454321,-0.02672299592095631
304,-0.017352412051017674,-9,2.3372168232539464e-05,-0.07333333333333333,0,0,-9,12689.0,-0.01858921178210529,-2,0,0,-9.333333333333332,0.24514084846775397,-0.575517570984041,0.0,-0.03516987465249585,0.47072644808897834,-0.3062157782264383,-0.01859284082674731
305,-0.023045891267090002,-9,-0.0005406225583451672,-0.06000000000000001,0,0,-8,17154.0,0.05051622875977935,-2,0,0,-3.333333333333332,-0.07494572179536707,-0.6366245343244818,-0.013333333333333334,-0.10361954879651901,1.4966777693599873,-0.668730821192189,0.050536784232031895
306,-0.04421963004596419,-9,-0.0007482756283643679,-0.07333333333333333,0,0,-8,17154.0,0.044404906332031285,-3,0,0,-9.333333333333332,0.06683741839714763,-0.4719366701990815,-0.013333333333333334,-0.03394351809286919,2.0130315251784623,-0.6493130990897216,0.04441755828337718
307,-0.04470115569360067,-9,-0.00017604665693261368,-0.08000000000000002,0,0,-9,15702.0,-0.013294573913923358,-3,0,0,-8.666666666666666,0.13545497697814923,-0.5066384908854777,0.0,-0.02109020786130897,1.515803719677983,-0.861522519398481,-0.013249830719881811
308,-0.035172669744705676,-9,0.00015426341973987813,-0.07333333333333333,0,0,-9,17154.0,-0.005781559710663381,-3,0,0,-8.666666666666666,0.2388222660395698,-0.5908707873562853,0.006666666666666666,-0.018587664911391993,3.2551429010948567,-0.8882118004140076,-0.005776096095853056
309,-0.04459220833701133,-9,-0.0001456470769177165,-0.07333333333333333,0,0,-9,17154.0,-0.010790905920065347,-3,0,0,-8.666666666666666,0.1359182951399891,-0.5789028692716838,0.0,-0.05454553722303858,1.737218626952341,-1.0433218156293753,-0.010786799865198343
310,-0.03530058483154502,-9,2.135354633538589e-05,-0.08000000000000002,0,0,-9,17154.0,-0.023386792369023107,-3,0,0,-8.666666666666666,0.18967863404308893,-0.3939478144489721,0.0,-0.07075689373498187,1.5673182481281138,-0.22937611816162562,-0.023381805923625182
311,-0.041049842230178546,-9,0.0001911726992919236,-0.07333333333333333,0,0,-9,13081.0,-0.02174582568995101,-3,0,0,-9.333333333333332,0.3410532224355851,-0.9436371436170288,0.0,-0.08330406588351884,1.7799322199652146,-0.869082074146565,-0.021740736602134852
312,0.012027062775920694,-1,0.00788571760138542,0.013333333333333336,0,0,-1,-2312.0,0.0194543975129243,1,0,0,-2.0000000000000004,-0.5783115909574623,-0.7885671279247604,0.0,-0.1307412065045178,3.199927419126757,-1.2184148268181798,0.01866783032610686
